course_name,index
3D動畫虛擬實境實作(II),434323
3D城市與數位校園,425483
Android Apps創意程式設計,"454265,454732,457136,458224,459012"
UNIX應用與實務,"97226,120009"
iOS APP程式設計,"455246,455725"
世界建築欣賞,420902
世界音樂文化,306882
世界音樂賞析,339107
中國文化遺產及其藝術,306055
中國文物欣賞,"299617,300453"
事業創新,408867
人力資源發展,270672
人工智慧概論與實務,"171151,173715"
人生哲學,"295538,296445,297161,298114"
人造環境欣賞,298845
介紹台灣,407356
企業倫理與社會責任,"252666,261669"
企業管理實務,278092
企業資源規劃實務(二),272258
企業電子化,249726
休閒事業管理,247580
住宅問題研究,377838
佛家思想,301284
作業管理,287309
作業管理個案研究,274729
作業系統(二),166505
使用者導向設計,460503
個人資料保護法,427040
倫理價值與生命哲學,"310190,310710"
全民國防教育軍事訓練(二),"434798,440800,443801"
全球暖化與綠色環境設計,422939
公民社會的政策參與,367232
具體數學,155661
初階智慧型創新,"390602,391512"
前瞻時尚與潮流,450740
創意運動英文學習,413004
創新管理與企業家精神,462935
創新綠色科技,350408
創業創意營運管理,401942
創業與創新,397529
劇場實務（二）,400148
劇場服裝設計及製作,404939
劇場與影像設計,453184
化粧品科學與生活時尚,358834
古典小說,313618
台灣文學,418378
台灣民俗文化,341968
台灣民間信仰,"314631,315499,316478,317446,318417,319240"
台灣環境與永續生活,336692
台灣的政府與政治,390106
向儒道思想學情緒管理,336201
商事法,"217570,232575"
商業軟體應用(一),216629
國防科技與產業發展,349444
國際企業策略與文化,462051
國際企業管理,"255667,264670"
國際關係,"365094,365656"
土地關懷之旅,343517
地方自治,364361
地理資訊於APPS之應用,"168226,172633"
型樣識別,156541
培育3D設計夢想號學生大使,401069
基礎影音製作,413535
大陸問題研究,374518
奈米科技與生活,352112
婚姻與家庭,"382228,383161"
學術寫作與商業報告,464811
宗教與人生,"321989,322698"
專利撰寫實務,399185
希臘羅馬神話故事與西洋藝術,"304100,305239"
彩排與公演,433752
彩色寶石鑑賞與珠寶事業經營管理,414585
從人類學看世界,415044
從空間看世界,394053
微積分(二),"13007,38016,63025"
微積分(二)實習,"10006,35015,60024"
心理劇與自我成長,"384134,384879"
心理學整合與發展,"369613,370295"
性別差異與性別平等,411312
性別平等與親密關係,432180
性別教育與服務-學習,386456
性別與心理衛生,359592
性別與新飲食文化探索,406733
應用文,"328858,329927,330884,331703,418857"
應用程式設計,251646
戀愛、家庭與性別平等,432734
戀愛心理學,366141
打造自我品牌─職能加值課程,461012
批判思考,"332615,333314,419359"
投資管理實務(二),278562
投資組合管理,273828
投資與理財,378752
探討在台日商管理之文化差異問題,403835
敏捷開發,162753
教育的理論與實踐,"371259,372142"
敲開古典音樂之門,408319
數位信號處理導論,124031
