student_id,index
D000003506,2
D000005500,6
D000006323,14
D000006491,17
D000009058,24
D000010788,28
D000011990,36
D000012294,43
D000012553,56
D000015295,63
D000016780,74
D000019514,86
D000021432,91
D000021739,101
D000022446,114
D000023467,120
D000023948,124
D000028134,131
D000028219,144
D000031073,153
D000031219,162
D000033701,169
D000034654,174
D000035316,185
D000036771,195
D000037839,202
D000040259,209
D000042635,216
D000043267,227
D000044516,240
D000050289,251
D000055833,257
D000056663,269
D000062596,278
D000063777,285
D000066204,296
D000067911,305
D000072229,310
D000075169,321
D000076609,330
D000083065,338
D000086776,345
D000088138,351
D000090087,359
D000094054,366
D000095884,375
D000096188,381
D000099172,384
D000103077,389
D000106481,400
D000107624,406
D000107754,412
D000112161,420
D000115131,426
D000116084,435
D000118026,443
D000120586,456
D000122672,462
D000131650,471
D000131889,484
D000132947,494
D000141482,501
D000143592,510
D000143950,513
D000149235,521
D000150958,530
D000155083,537
D000156660,543
D000163262,549
D000164795,554
D000169936,559
D000172349,567
D000173612,572
D000174077,582
D000174732,586
D000177764,590
D000177849,596
D000179669,604
D000183123,610
D000188487,620
D000192385,626
D000194822,631
D000196710,637
D000197243,641
D000200523,646
D000201452,657
D000207232,660
D000210768,672
D000215220,678
D000215329,684
D000217071,690
D000217224,693
D000223485,697
D000227162,702
D000229142,712
D000232456,718
D000233040,727
D000240505,732
D000243513,738
D000245098,744
D000250405,751
D000250962,763
D000253062,773
D000255189,782
D000255752,786
D000256261,795
D000258548,803
D000258869,808
D000260466,821
D000262316,832
D000269681,836
D000273114,841
D000287036,847
D000287586,852
D000288385,856
D000289085,863
D000291187,873
D000295680,880
D000300353,887
D000301336,892
D000301459,902
D000302166,909
D000305952,919
D000307116,924
D000308458,937
D000309011,943
D000309769,950
D000310147,959
D000311328,964
D000312509,970
D000312677,974
D000315548,982
D000316224,987
D000321686,997
D000324168,1001
D000327978,1011
D000330046,1018
D000330312,1021
D000331517,1027
D000338349,1032
D000339469,1036
D000341516,1041
D000343381,1050
D000343589,1057
D000345613,1069
D000353663,1076
D000354035,1089
D000355179,1099
D000355681,1103
D000356237,1111
D000356350,1119
D000356756,1128
D000359375,1139
D000359542,1144
D000364072,1150
D000364249,1158
D000364546,1170
D000366168,1181
D000368544,1185
D000373050,1192
D000374064,1205
D000376617,1209
D000377775,1216
D000380003,1220
D000381628,1226
D000384155,1237
D000384414,1244
D000389419,1253
D000389747,1258
D000389822,1267
D000390033,1272
D000393096,1277
D000393621,1283
D000393942,1294
D000396790,1299
D000397452,1310
D000402088,1319
D000407533,1328
D000417297,1336
D000418560,1345
